Output of 'ps -ef':
UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 15:14 ?        00:00:13 /lib/systemd/systemd --system --deserialize 18
root           2       0  0 15:14 ?        00:00:00 [kthreadd]
root           3       2  0 15:14 ?        00:00:00 [rcu_gp]
root           4       2  0 15:14 ?        00:00:00 [rcu_par_gp]
root           5       2  0 15:14 ?        00:00:00 [slub_flushwq]
root           6       2  0 15:14 ?        00:00:00 [netns]
root           8       2  0 15:14 ?        00:00:00 [kworker/0:0H-kblockd]
root          10       2  0 15:14 ?        00:00:00 [mm_percpu_wq]
root          11       2  0 15:14 ?        00:00:00 [rcu_tasks_rude_]
root          12       2  0 15:14 ?        00:00:00 [rcu_tasks_trace]
root          13       2  0 15:14 ?        00:00:00 [ksoftirqd/0]
root          14       2  0 15:14 ?        00:00:19 [rcu_sched]
root          15       2  0 15:14 ?        00:00:00 [migration/0]
root          16       2  0 15:14 ?        00:00:00 [idle_inject/0]
root          18       2  0 15:14 ?        00:00:00 [cpuhp/0]
root          19       2  0 15:14 ?        00:00:00 [cpuhp/1]
root          20       2  0 15:14 ?        00:00:00 [idle_inject/1]
root          21       2  0 15:14 ?        00:00:01 [migration/1]
root          22       2  0 15:14 ?        00:00:00 [ksoftirqd/1]
root          24       2  0 15:14 ?        00:00:00 [kworker/1:0H-events_highpri]
root          25       2  0 15:14 ?        00:00:00 [cpuhp/2]
root          26       2  0 15:14 ?        00:00:00 [idle_inject/2]
root          27       2  0 15:14 ?        00:00:01 [migration/2]
root          28       2  0 15:14 ?        00:00:00 [ksoftirqd/2]
root          30       2  0 15:14 ?        00:00:00 [kworker/2:0H-kblockd]
root          31       2  0 15:14 ?        00:00:00 [cpuhp/3]
root          32       2  0 15:14 ?        00:00:00 [idle_inject/3]
root          33       2  0 15:14 ?        00:00:01 [migration/3]
root          34       2  0 15:14 ?        00:00:05 [ksoftirqd/3]
root          36       2  0 15:14 ?        00:00:00 [kworker/3:0H-kblockd]
root          37       2  0 15:14 ?        00:00:00 [cpuhp/4]
root          38       2  0 15:14 ?        00:00:00 [idle_inject/4]
root          39       2  0 15:14 ?        00:00:01 [migration/4]
root          40       2  0 15:14 ?        00:00:00 [ksoftirqd/4]
root          42       2  0 15:14 ?        00:00:00 [kworker/4:0H-events_highpri]
root          43       2  0 15:14 ?        00:00:00 [kdevtmpfs]
root          44       2  0 15:14 ?        00:00:00 [inet_frag_wq]
root          45       2  0 15:14 ?        00:00:00 [kauditd]
root          46       2  0 15:14 ?        00:00:00 [khungtaskd]
root          47       2  0 15:14 ?        00:00:00 [oom_reaper]
root          48       2  0 15:14 ?        00:00:00 [writeback]
root          49       2  0 15:14 ?        00:00:09 [kcompactd0]
root          50       2  0 15:14 ?        00:00:00 [ksmd]
root          51       2  0 15:14 ?        00:00:00 [khugepaged]
root          99       2  0 15:14 ?        00:00:00 [kintegrityd]
root         100       2  0 15:14 ?        00:00:00 [kblockd]
root         101       2  0 15:14 ?        00:00:00 [blkcg_punt_bio]
root         102       2  0 15:14 ?        00:00:00 [tpm_dev_wq]
root         103       2  0 15:14 ?        00:00:00 [ata_sff]
root         104       2  0 15:14 ?        00:00:00 [md]
root         105       2  0 15:14 ?        00:00:00 [edac-poller]
root         106       2  0 15:14 ?        00:00:00 [devfreq_wq]
root         107       2  0 15:14 ?        00:00:00 [watchdogd]
root         109       2  0 15:14 ?        00:00:04 [kworker/4:1H-kblockd]
root         111       2  0 15:14 ?        00:00:02 [kswapd0]
root         112       2  0 15:14 ?        00:00:00 [ecryptfs-kthrea]
root         115       2  0 15:14 ?        00:00:00 [kthrotld]
root         116       2  0 15:14 ?        00:00:00 [acpi_thermal_pm]
root         118       2  0 15:14 ?        00:00:00 [scsi_eh_0]
root         119       2  0 15:14 ?        00:00:00 [scsi_tmf_0]
root         120       2  0 15:14 ?        00:00:00 [scsi_eh_1]
root         121       2  0 15:14 ?        00:00:00 [scsi_tmf_1]
root         123       2  0 15:14 ?        00:00:00 [vfio-irqfd-clea]
root         124       2  0 15:14 ?        00:00:00 [mld]
root         125       2  0 15:14 ?        00:00:00 [ipv6_addrconf]
root         138       2  0 15:14 ?        00:00:00 [kstrp]
root         141       2  0 15:14 ?        00:00:00 [zswap-shrink]
root         142       2  0 15:14 ?        00:00:00 [kworker/u11:0]
root         147       2  0 15:14 ?        00:00:00 [charger_manager]
root         171       2  0 15:14 ?        00:00:06 [kworker/1:1H-kblockd]
root         200       2  0 15:14 ?        00:00:00 [scsi_eh_2]
root         201       2  0 15:14 ?        00:00:00 [scsi_tmf_2]
root         204       2  0 15:14 ?        00:00:06 [kworker/0:1H-kblockd]
root         207       2  0 15:14 ?        00:00:05 [kworker/3:1H-kblockd]
root         226       2  0 15:14 ?        00:00:09 [jbd2/sda5-8]
root         227       2  0 15:14 ?        00:00:00 [ext4-rsv-conver]
root         262       2  0 15:14 ?        00:00:05 [kworker/2:1H-kblockd]
root         307       2  0 15:14 ?        00:00:00 [ttm_swap]
root         308       2  0 15:14 ?        00:00:05 [irq/18-vmwgfx]
root         309       2  0 15:14 ?        00:00:00 [card0-crtc0]
root         310       2  0 15:14 ?        00:00:00 [card0-crtc1]
root         311       2  0 15:14 ?        00:00:00 [card0-crtc2]
root         312       2  0 15:14 ?        00:00:00 [card0-crtc3]
root         313       2  0 15:14 ?        00:00:00 [card0-crtc4]
root         314       2  0 15:14 ?        00:00:00 [card0-crtc5]
root         315       2  0 15:14 ?        00:00:00 [card0-crtc6]
root         316       2  0 15:14 ?        00:00:00 [card0-crtc7]
root         359       2  0 15:14 ?        00:00:00 [iprt-VBoxWQueue]
root         363       2  0 15:14 ?        00:00:00 [cryptd]
root         631       1  0 15:14 ?        00:00:01 /usr/sbin/acpid
root         635       1  0 15:14 ?        00:00:00 /usr/sbin/cron -f
message+     638       1  0 15:14 ?        00:00:09 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         645       1  0 15:14 ?        00:00:00 /usr/sbin/irqbalance --foreground
root         648       1  0 15:14 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root         651       1  0 15:14 ?        00:00:06 /usr/lib/policykit-1/polkitd --no-debug
root         667       1  0 15:14 ?        00:00:00 /usr/libexec/switcheroo-control
root         671       1  0 15:14 ?        00:00:00 /usr/lib/udisks2/udisksd
colord       724       1  0 15:14 ?        00:00:00 /usr/libexec/colord
root         736       1  0 15:14 ?        00:00:00 /usr/sbin/ModemManager
root         745       1  0 15:14 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root         785       1  0 15:14 ?        00:00:29 /usr/bin/VBoxDRMClient
root         995       1  0 15:14 ?        00:00:00 /usr/sbin/gdm3
rtkit       1032       1  0 15:14 ?        00:00:00 /usr/libexec/rtkit-daemon
root        1150       1  0 15:14 ?        00:00:00 /usr/lib/upower/upowerd
whoopsie    1728       1  0 15:15 ?        00:00:00 /usr/bin/whoopsie -f
kernoops    1730       1  0 15:15 ?        00:00:00 /usr/sbin/kerneloops --test
kernoops    1732       1  0 15:15 ?        00:00:00 /usr/sbin/kerneloops
root       24295       1  0 15:42 ?        00:00:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
uuidd      24709       1  0 15:42 ?        00:00:00 /usr/sbin/uuidd --socket-activation
root       24801       1  0 15:42 ?        00:00:00 /usr/lib/accountsservice/accounts-daemon
root       30373       1  0 15:42 ?        00:00:00 /usr/sbin/cupsd -l
lp         30375   30373  0 15:42 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus://
avahi      30481       1  0 15:42 ?        00:00:00 avahi-daemon: running [thisisaro.local]
avahi      30482   30481  0 15:42 ?        00:00:00 avahi-daemon: chroot helper
root       30712       1  0 15:43 ?        00:00:00 /usr/sbin/cups-browsed
root       31125       1  0 15:43 ?        00:00:02 /lib/systemd/systemd-journald
root       31427       1  0 15:43 ?        00:00:01 /usr/lib/snapd/snapd
root       31787       1  0 15:43 ?        00:00:02 /usr/sbin/NetworkManager --no-daemon
syslog     44058       1  0 15:44 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
root       51843       1  0 17:02 ?        00:00:00 /lib/systemd/systemd-logind
root       51844     995  0 17:02 ?        00:00:00 gdm-session-worker [pam/gdm-launch-environment]
systemd+   51854       1  0 17:02 ?        00:00:01 /lib/systemd/systemd-resolved
gdm        51898       1  0 17:02 ?        00:00:00 /lib/systemd/systemd --user
gdm        51900   51898  0 17:02 ?        00:00:00 (sd-pam)
gdm        51914   51898  0 17:02 ?        00:00:00 /usr/bin/pulseaudio --daemonize=no --log-target=journal
gdm        51923   51844  0 17:02 tty3     00:00:00 /usr/lib/gdm3/gdm-x-session dbus-run-session -- gnome-session --autostart /usr/share/gdm/greeter/autostart
gdm        51926   51923  0 17:02 tty3     00:00:06 /usr/lib/xorg/Xorg vt3 -displayfd 3 -auth /run/user/126/gdm/Xauthority -background none -noreset -keeptty -verbose 3
gdm        51943   51898  0 17:02 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
systemd+   51976       1  0 17:02 ?        00:00:00 /lib/systemd/systemd-timesyncd
gdm        52058   51923  0 17:02 tty3     00:00:00 dbus-run-session -- gnome-session --autostart /usr/share/gdm/greeter/autostart
gdm        52059   52058  0 17:02 tty3     00:00:00 dbus-daemon --nofork --print-address 4 --session
gdm        52062   52058  0 17:02 tty3     00:00:00 /usr/libexec/gnome-session-binary --systemd --autostart /usr/share/gdm/greeter/autostart
gdm        52088       1  0 17:02 tty3     00:00:00 /usr/libexec/at-spi-bus-launcher
gdm        52093   52088  0 17:02 tty3     00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
gdm        52137   52062  0 17:02 tty3     00:00:17 /usr/bin/gnome-shell
gdm        52180   52137  0 17:02 tty3     00:00:00 ibus-daemon --panel disable --xim
gdm        52183   52180  0 17:02 tty3     00:00:00 /usr/libexec/ibus-memconf
gdm        52185       1  0 17:02 tty3     00:00:00 /usr/libexec/ibus-x11 --kill-daemon
gdm        52191       1  0 17:02 tty3     00:00:00 /usr/libexec/ibus-portal
gdm        52198       1  0 17:02 tty3     00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
gdm        52202       1  0 17:02 tty3     00:00:00 /usr/libexec/xdg-permission-store
gdm        52212       1  0 17:02 tty3     00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
gdm        52225   52062  0 17:02 tty3     00:00:00 /usr/libexec/gsd-sharing
gdm        52226   52062  0 17:02 tty3     00:00:00 /usr/libexec/gsd-wacom
gdm        52229   52062  0 17:02 tty3     00:00:00 /usr/libexec/gsd-color
gdm        52231   52062  0 17:02 tty3     00:00:00 /usr/libexec/gsd-keyboard
gdm        52234   52062  0 17:02 tty3     00:00:00 /usr/libexec/gsd-print-notifications
gdm        52235   52062  0 17:02 tty3     00:00:00 /usr/libexec/gsd-rfkill
gdm        52236   52062  0 17:02 tty3     00:00:00 /usr/libexec/gsd-smartcard
gdm        52239   52062  0 17:02 tty3     00:00:00 /usr/libexec/gsd-datetime
gdm        52244   52062  0 17:02 tty3     00:00:00 /usr/libexec/gsd-media-keys
gdm        52246   52062  0 17:02 tty3     00:00:00 /usr/libexec/gsd-screensaver-proxy
gdm        52248   52062  0 17:02 tty3     00:00:00 /usr/libexec/gsd-sound
gdm        52249   52062  0 17:02 tty3     00:00:00 /usr/libexec/gsd-a11y-settings
gdm        52251   52180  0 17:02 tty3     00:00:00 /usr/libexec/ibus-engine-simple
gdm        52255   52062  0 17:02 tty3     00:00:00 /usr/libexec/gsd-housekeeping
gdm        52258   52062  0 17:02 tty3     00:00:00 /usr/libexec/gsd-power
gdm        52285       1  0 17:02 tty3     00:00:00 /usr/libexec/gsd-printer
root       52371       1  0 17:39 ?        00:00:00 /lib/systemd/systemd-udevd
root       52377     995  0 17:39 ?        00:00:00 gdm-session-worker [pam/gdm-password]
aro        52388       1  0 17:39 ?        00:00:00 /lib/systemd/systemd --user
aro        52389   52388  0 17:39 ?        00:00:00 (sd-pam)
aro        52395   52388  0 17:39 ?        00:00:03 /usr/bin/pulseaudio --daemonize=no --log-target=journal
aro        52398       1  0 17:39 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
aro        52403   52388  0 17:39 ?        00:00:02 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
aro        52405   52377  0 17:39 tty2     00:00:00 /usr/lib/gdm3/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
aro        52407   52405  4 17:39 tty2     00:07:16 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
aro        52415   52405  0 17:39 tty2     00:00:00 /usr/libexec/gnome-session-binary --systemd --systemd --session=ubuntu
aro        52488       1  0 17:39 ?        00:00:00 /usr/bin/VBoxClient --clipboard
aro        52490   52488  0 17:39 ?        00:00:00 /usr/bin/VBoxClient --clipboard
aro        52496       1  0 17:39 ?        00:00:00 /usr/bin/VBoxClient --seamless
aro        52498   52496  0 17:39 ?        00:00:12 /usr/bin/VBoxClient --seamless
aro        52504       1  0 17:39 ?        00:00:00 /usr/bin/VBoxClient --draganddrop
aro        52506   52504  0 17:39 ?        00:01:16 /usr/bin/VBoxClient --draganddrop
aro        52520       1  0 17:39 ?        00:00:00 /usr/bin/VBoxClient --vmsvga-session
aro        52522   52520  0 17:39 ?        00:00:07 /usr/bin/VBoxClient --vmsvga-session
aro        52528   52415  0 17:39 ?        00:00:00 /usr/bin/ssh-agent /usr/bin/im-launch env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
aro        52545   52388  0 17:39 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
aro        52550   52545  0 17:39 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
aro        52579   52388  0 17:39 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
aro        52586   52388  0 17:39 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
aro        52600   52388  4 17:39 ?        00:08:16 /usr/bin/gnome-shell
